RepeatID,rDNAdel.ESC134_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC134_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep3__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep4__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_18hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_18hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep3__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep3__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep3__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep4__fsp_ht2.ce10_sbl_sSR.bam
AT_rich_dup1926,0,0,72,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AT_rich_dup1927,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CELE46B_dup103,30,0,0,0,17,0,0,0,0,0,0,0,4,0,0,20,1,0
AT_rich_dup1928,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0
AT_rich_dup1929,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAL3A_CE_dup20,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
CELE14B_dup413,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
(TTA)n_dup7,0,0,0,0,0,0,0,1,1,0,1,0,3,5,0,0,0,9
AT_rich_dup1930,0,1,0,0,0,8,0,1,0,0,1,2,3,0,0,0,0,0
LR9A_dup217,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MINISAT1_CE_dup280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERP3_dup346,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MINISAT1_CE_dup281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA-rich_dup14,7.5,48,139,125,62,103,6,4,4,1,48,48.5,104.5,117,183,238,4,46
AT_rich_dup1931,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0
CELE2_dup165,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,24,0,0
CELE2_dup166,0,0,0,0,0,4,0,0,0,0,3,0,2,0,0,0,0,0
(ATG)n_dup3,5,30,48,30,67,41,43,35,57,21,128,208,337,322,146,101,9,70
CELE7_dup47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CELE7_dup48,0,0,0,44,0,2,0,0,0,0,5,0,0,0,0,18,0,0
CELE7_dup49,0,0,0,0,3,16,0,0,0,0,1,0,0,0,0,0,0,0
PALTTAA3_CE_dup105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE4_dup42,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0
CELE4_dup43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE4_dup44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LR9A_dup218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE1_dup333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE1_dup334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-rich_dup23,0,0,0,0,0,0,2,0,0,0,5,2,2,8,0,0,0,0
(TAGA)n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
A-rich_dup24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
(TAGA)n_dup1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-rich_dup25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
A-rich_dup26,2,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0
A-rich_dup27,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0
(TAGA)n_dup2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-rich_dup28,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
(AATAG)n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-rich_dup29,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0
CELE42_dup298,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.09,0,0,0,0
AT_rich_dup1932,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0
